Name,Data Type,Description,Sample Values,Transformation
Group.1,int,Group by subject for mean values,1 2 3 4 5 6 7 8 9 10 … 30,Aggregation by subject variable
Group.2,int,Group by action for mean value,1 2 3 4 5 6 ,Aggregation by activity variable
subject,num,Identifies which subject the data belongs to,1 2 3 4 5 6 7 8 9 10 ...,N/A
tBodyAcc-mean()-X,num,Body acceleration mean for x,0.277 0.276 0.276 0.279 0.278 ...,Average by subject and activity aggregation
tBodyAcc-mean()-Y,num,Body acceleration mean for y,-0.0174 -0.0186 -0.0172 -0.0148 -0.0173 ...,Average by subject and activity aggregation
tBodyAcc-mean()-Z,num,Body acceleration mean for z,-0.111 -0.106 -0.113 -0.111 -0.108 ...,Average by subject and activity aggregation
tBodyAcc-std()-X,num,Body acceleration standard deviation for x,-0.284 -0.424 -0.36 -0.441 -0.294 ...,Average by subject and activity aggregation
tBodyAcc-std()-Y,num,Body acceleration standard deviation for y,0.1145 -0.0781 -0.0699 -0.0788 0.0767 ...,Average by subject and activity aggregation
tBodyAcc-std()-Z,num,Body acceleration standard deviation for z,-0.26 -0.425 -0.387 -0.586 -0.457 ...,Average by subject and activity aggregation
tGravityAcc-mean()-X,num,Gravity acceleration mean for x,0.935 0.913 0.937 0.964 0.973 ...,Average by subject and activity aggregation
tGravityAcc-mean()-Y,num,Gravity acceleration mean for y,-0.2822 -0.3466 -0.262 -0.0859 -0.1004 ...,Average by subject and activity aggregation
tGravityAcc-mean()-Z,num,Gravity acceleration mean for z,-0.0681 0.08473 -0.13811 0.12776 0.00248 ...,Average by subject and activity aggregation
tGravityAcc-std()-X,num,Gravity acceleration standard deviation for x,-0.977 -0.973 -0.978 -0.984 -0.979 ...,Average by subject and activity aggregation
tGravityAcc-std()-Y,num,Gravity acceleration standard deviation for y,-0.971 -0.972 -0.962 -0.968 -0.962 ...,Average by subject and activity aggregation
tGravityAcc-std()-Z,num,Gravity acceleration standard deviation for z,-0.948 -0.972 -0.952 -0.963 -0.965 ...,Average by subject and activity aggregation
tBodyAccJerk-mean()-X,num,Body acceleration jerk mean for x,0.074 0.0618 0.0815 0.0784 0.0846 ...,Average by subject and activity aggregation
